Index,comments
111,Which air max is the lady wearing at the beginning of the video.. would appreciate the help
112,air max 270 react eng photon dust
113,AirMax react 270 ENG
114,The Air Max 97 gives me quivers... nothing is better than that sneaker in my opinion
115,air max 97s worldwide edition
116,One's. The original OG.
117,720 and 2090
118,"SHAME THE AIR UNIT GOT SO SMALL, BACK IN THE 90'S THE AIR UNIT WAS WAY BIGGER, ESPECIALLY ON THE 180'S, NIKE PLEASE BRING BACK THE OLD AIR UNIT "
119,97's and exosense
120,Looks air max 1. Wear air max 90. Comfort 95
121,"95 , vapormax plus, all the way up !"
122,@vANdAL Air Max 95 and 97 are critical!!!
123,@M Chris I got Scottie Pippens still from 2013
124,"@nike Air Force 180 Max Barkley Edition, BWs and 95s"
125,Most of them have a deeply equal resonance to my taste! 
126,Too hard of a question to answer. It's a tie between the Air Max 1 and the Air Max 90. As far as colorways go that is impossible for me to say.
127,Yeezy red october
128,"No one , nuthin but air jordan"
129,"1s, 720, 97 and more"
130,Sean wotherspoons 97/1
131,Air max 90s or the 270s
132,Gotta say the  I'm torn between the Air Max 90 and 95
133,720s all the way
134,95’s for me but I rock them all!
135,Infared 90s & Laser blue 90s
136,Nike cristiano 's all collection
137,Air Max Plus Tn
138,Am90 vintage yellow
139,do you NIKE have the Photo/concept of all your models? from the 1 to the last? because I'm sure I had a pair at 1997 and never saw it again. consider look at last time and relaunch some models.  but my favorite was a 200 and obviously Jordan's
140,always was and always will be Air Max 90's
141,Air max 90 essential before they were recrafted few months ago
142,The first ones are the best TN are rubbish I got vapourmax don't rate them 95s are great an 90s but pls the first ones are there best
143,Send me one please
144,Without a doubt the 90s
145,90 and 1
146,95's 97's 98's
147,Black 270s with blue + turquoise ticks
148,My favourite is actually 2 different air max the 2015 and the 2016 but since they looked pretty much the same I could go with either year
149,"Of all I have, Royal AM1 Anniversaries or Silver Bullet 97s"
150,94s Air Max 2 lights
151,95s 
152,Air Max Classic bw - only and forever! You don't seem to give it much love though for some reason =\
153,"1's, 90's, 97's, TN 1's, TN 3's"
154,90s of course!  but i like the classic bw and one too
155,"Two styles Nike Tns,+Tailwinds l reckon... Same brand's, same again.. GRACE"
156,I grew up in the 90s and my favorite airmax use to be the 97s but them vapormax is the most beautiful nike airmax ever made. But if they aren’t considered airmax and vapormax is its own entity then ima have to stick with the 97s.
157,the recraftet air max 90 is trash at least bring back the (g)old ones as an iD shoe or something. please nike.
158,Dont own a pair but 90s for sure
159,90s and 97
160,Can ya'll donate me a free pair of Airmax 90s I'm size 10 but can also wear an 11 thanks dm me thanks Nike.
161,95 of course
162,180 og colorway for sentimental reasons that it is my first ever airmax and it's comfy af
163,the air max 90 I had the one that looks like a notebook it was white and black with a blue line copybook page it was awesome
164,95s all the way!!
165,90s and 270s 
166,Air Max 90 infeared
167,Hook me up with a pair
168,Air Max 1 and silver bullet 97’s
169,"been wearing almost only air max since 90's . now i have zoom all out , airmax 720 horizon and airmax 97 haven ."
170,BW's.
171,Too many iconic trainers but would like to see nike air max 98 tl
172,"Can you please re release some air max bw ultras. Since the 97s, you've been in desperate need to find a new Tinker. In the U.S every number Jordan is readily available yet in europe you've hid all the air maxes under your bed and forcing us to buy all your new ugly crap."
173,wait what about air max plus?
174,Air Vapour Max Plus and Air Max 95
175,Infrared 90's  ultramarine 90 + 180 best colourwayzzz Ever !!!!
176,air max bw persian violet
177,90 and I love 98 and TN
178,defo 720 . however if vapormaxs plusses where counted as air force then ...
179,"180 CDG, the colorway is fire"
180,TWO SEVENTY
181,"I have to go with the OG Air Max 1's, and with the Varsity Red colorway."
182,Specifically its the Air Max 97/1 Wotherspoons
183,Nike Air Force 1’s all day! Some of the best and most well executed materials / designs and collabs created on a shoe
184,Sliver 97 or All White Air Max 90
185,Air max 95s and 97s
186, It is the worst shoe and the stupidest idea for shoes on the face of the earth .. Because I bought several years ago the Air Max shoes and when I went and friends on the way to the cinema I walked by mistake on a nail that was lying on the floor and suddenly the air was emptied from the inside of the shoe and I became walking and limp and my shape became embarrassing in the street .. Since that day I have been sharing all of my acquaintances and friends and social media with this disastrous experience with this stupid shoe so that a small nail in the street makes it useless.
187,Tn 2 & Tn 7
188,Nike air max classics
189,@Robbe Schoormans TOP!!
190,air max classic bw
191,Air force 1
192,My Brown Leather Classic BW´s in my Collection that i wear for 13 Years but then the Foam of the Soles are breaking The Top looks like a 6 Months old shoe and i was on many Gabber Parties between the 90´s and mid 00´s I LUV That Shoe and it has his place in my glass cabinet since few years
193,im about to buy my 1st pair of Nike Air Max
194,@Robert Mills 97s are only for girls imo
195,"How can you choose? 90's, 95's, 97's... All CLASSIC!"
196,AM1
197,hard to choose between 95 and 98
198,90s. 100%
199,90 or 97
200,Air Max Tailwind 5 SP. Re Release them please.
201,"Air max BW ,, can’t find them anywhere BRING THEM BACK NIKE ,, more iconic than 90’s to me"
202,Nike only sells to the wealthy people of America. They're not looking for common folk to rep their brand.
203,How has nobody mentioned Airmax Ltd? My first ever pair of airmax 
204,90 infrared for sure
205,97' and 1
206,Air max 270 reacts
207,My all time favorite Air Max are the original 1998 yellow and  navy pair. But I have been wearing airmax's for as long as I can remember and don't remember not having any that were released in the 90's....
208,90's  black grey white colorway
209,Bring back the BW!
210,My preferred are the Air 180 & the ‘93 so I guess I’m gonna skip this  event this year...Also it would be nice to see the Air Trainer Max 93 to be released again.
211,Airmax 1 in the classic red white color way
212,"90s , 270s"
213,"Air Max 97, no straight line is just fire"
214,"90's,95's and 97's"
215,Air max 270 react bauhaus
216,BW and TN
217,"1s, 90s,97s and some colourways  of the air 270s"
218,97's!throw a giveaway guys!
219,Air Stab's and Wrights
220,Airmax command leather!!!!
221,Tbh 97's and 95's
222,The air max plus and and 1 97 seam whoother spoon
223,90's HARDCORE NEVER DIE and thats the same for the 90's
224,"Air Max 90 for me. Used to wear the 1 and 90 when I was a kid, when times are still good."
225,BWs then Skylines.
226,"Nike the 2090s ain’t it, sorry. They look too regular, like any other shoe. I would love help and give some ideas. I Love Nike."
227,95 or 97 Hands down
228,BW because all start with them !
229,Bw's and 90
230,I'v been trying to get 140$ to buy 1 pair of air max for a few months... I'm broke af... feels bad...
231,air max 270 and the airmax 90. kinda glad not many like the vapormax lol
232,Why don't you make air maxes widely available. This limited shit isn't going to last forever and only pisses long term collectors off. Eat a fat one and stop catering to the hype crowd.
233,Nike Air Max Tailwind IV. Thanks for bringing them back out last year 
234,Air max 1 and Air max 97 (still praying for another 1/97 (like the Wotherspoons))
235,"When the Air Max 180 came out it changed my life. This was basically a shoe with a SEE THROUGH LEGO brick. And no way for me to get it, I was way too young for expensive (and white) shoes like that. In 2014 only 23 years later I finally got my pair! Was it worth the wait? Oh yes!"
236,"In this order 95s,90s,1s,97s"
237,"The elephants.i want to cop um,but with this carona virus messing the world up,who knows when. Also am90 bacon"
238,Air max 1’s for sure its the shoe that got me into collecting 
239,Basically i love all air max hehe
240,"I love the 95s, 97s, the air max plus and the air max ltd"
241,All pig them have been special
242,Air max 180 we need better CWs on them!!
243,Air max bw classic
244,97s!!!
245,Air Max 270 React
246,The squishy  90 corks
247,any Command fans?
248,Air Max 1’sAtmos elephantPatta CordsBRS Powerball
249,The classic ones obviously AM 1s and AM 90s.
250,the ones with the air bubble
251,Barkley 34 wrap over velcrow.
252,@Short kid is not air max
253,I couldn’t actually decide so i think it’s easier to just say all of them. I’ve  been buying Air Max since a kid and still am buying them all my kicks are Air Max apart from some huaraches ultra
254,97's and the 90's
255,Just children will choose，I like them all
256,My first AirmaxAirmax 2015 flynit max. 
257,"I love my 270s, I just don’t like how my foot slides forward and pinches my toes. Also, the collar area somehow pinches the top of my foot. I like my Nike iD AM1 but I just cant feel the AirMax cushion in those.I ordered the 2090 Duck Camo and I’m still looking forward to my first pair of AM90s."
258,90's and 95's
259,"1s, 95, 98,"
260,97's 
261,Hard choice but the greatest Air Max overall is the Plus
262,All except Vapormax...ya'll need to kill that line
263,90s and 97s
264,Have too many to pick one fave air max180Infrared 90Silver bullet95 neon Vapormax pure platinum And waiting on 2090 to arrive in the door but the list goes on 
265,"Air Max Plus (aka Tn).  I’ve had literally 20+ pairs since 1999 and will always have some in the rotation.  Timeless, especially in the OG blue and orange colorways."
266,"It’s a toss up between the 90’s, 95’s and the Jordan 3’s/4’s since those are really air max made for Jordan. Lol"
267,AM 90s or AM 2011
268,"Atmos Tiger Camo 90's  It's actually the best on all counts. Wearability because of the subdued colourway is  Quality leathers on the guts and overall materials are Sly snakeskin swoosh  Sick tiger camo graphic blocking on the right panels Reflective elements on the tiger camo bursting with flash Glow in the dark speckles on the midsoles gleaming after a day out in the sun Hints of orange for a young alternative colour pop  The best, comprehensively unmatched 90 to date  If crep trump cards existed, it would be one of the strongest for sure."
269,Infrared 90
270,90’s/720
271,Air Max Infuriate II
272,"The 90 , 95 , 97"
273,90s and 1
274,90 for sure
275,720 it looks the best imo and comfy. not saying it is the best but it is my favorite
276,"i cannot pick just one! top 5 are 90, BW, 97, 95, and 93"
277,Wow nice  but i don't have money to buy it verry expensive but good quality
278,97s 720s
279,90’ and 1 
280,Please put correct size air units back in the 180s and also forefoot air back in the AM1 / BW / 90 / 180 as they were back when I first had them
281,Air Max 90. I’ll graduate and marry in them.
282,Air Max 90 and specially the Navigation Pack
283,Need more air
284,AIR MAX ONE !!!!’
285,Do vapormaxes count? If not then I pick 270’s
286,Gotta be the AM 1
287,Air Classic BW
288,Air Max 90 infrared!
289,Tinker sketch to shelf red 1‘s
290,air max 1/97 sean wotherspoon
291,90s and 1s
292,"The Air Max 90 is the first pair of sneakers I bought with money I earned from working. It was my favorite sneakermodel then, it’s my favorite sneaker model now."
293,@Stephen Lamley 1000% agree man definitely best silhouette
294,@Tim smith13 best silhouette imo
295,@Em Moyong obviously it’s my opinion.
296,@Robert Demon thats ur opinion yoFor me I don’t like 97Thats how it goes
297,90’s are good 97’s are better and bw’s are the best.
298,Exactly same as me first air max were 90’s in 1990 and have worn a pair ever since despite having other Max’s the 90’s are always my go to
299,literally same. everyone knows that i wear them a lot so they called it  “my thing”
300,I'm gay but and me
301,@g hunter9 me too lol
302,The Nike heart!
303,Facts whenever you get that first check its straight to buying what you always wanted
304,"Yeah, thats an issue. I also invested my first earned money into a sneaker. Jordan 7 Bordeaux back then. The conclusion from this buy was clear By any means, have some fresh kicks."
305,"Merry Air Max Day people  Cool insight into the new silhouette, I'm surprised it didn't drop in a remixed OG Infrared colourway though. I know it's not the activation for the time yet, but I'm intrigued to know what's coming for 95's as well. There's been a lot of sick in-house Air Max colourways designed over the past year, but I'm looking forward to seeing what collabs hold in store this year, the Sk 5 on a Tailwind 5 sounds like certified  I think you should get Kendrick on Air as well, he'll bring some sick concepts to the table."
306,https//youtube.com/shorts/pX3aS_lmyuA?feature=share
307,@Nahom Getachew what are u on about the literally he has new crepes every video
308,U gotta admit tho 90 essentials r better than these recrafts
309,The air max 950s are cold
310,Crep Check
311,"Hey chicken babe, how are you? ;)"
312,What I truly LOVE in the Air Max sneakers beyond its incredible design is their durability!  I bought Air Max 90 5 years ago and they are still fine !
313,I'm glad Nike makes these kind of videos it will help the next generation hundreds of years later of kids to be inspired good job NIKE!
314,"Just bought my first pair of Air Max's today, they were the 90's.. so here I am learning a bit. Just wanted to say that the lady talking about working in mental health & having the designs on her wall brought a tear to my eye. All the respect "
315,"Nothing in my life resonates with me more than my AirMax 90 when it comes to the material goods I own. There is an engrained cultural and socio-economical heritage that just reminds me of my past, the present and the future. These are more than shoes to me. More than iconic. They are truly historic in all facets of life."
316,"So, so much memories with these shoes, from my childhood (kids on the playground bragging and struggling to get a pair). Into my teens, (impressing friends and girls, party's and skateparks). Into my twenties (party's, love, heartache, funerals and weddings). Until my thirties now, passing the love down to my own kids. These shoes have been a huge part of my life, my culture, my generation, our identity. I truly fell in love with these shoes. The love for these shoes will be past down to the next generations, not because we want that to happen but because These shoes are fire!"
317,"I’m remember getting my first pair of Air Max’s I was 15 years old, now I’m 44 years old, and they are still and Air Max’s will be  4 Ever"
318,Thats crazy im 15 rn and im about to get my first air max its the recycled ones
319,"Thank you for sharing this Nike. For some, these sneakers are an essential part of life. Even if we have wear 'em inside now. The work of your company, from designer to shop employee, make our days brighter. And our feet shinier! Thank you!"
320,Loved this! Very thorough! I am an AIR MAX nut!!!! It's crazy - I am have been buying and rocking the 90s for 12 months now only because I wanted different colorways than the  Vapor Max I have. Air Max Plus blows my mind! I love those along with the Vapor Maxes! I had been buying Jordans for 7 yrs straight until 2019!
321,Still remember my first steps in an Air Max! It felt unreal and perfect. Totally new feeling. 
322,"I love the air max 90 and the simple appearance of it. Affordable and good looking and its stood through the testament of time, still find it hard to see how amazing a viable air unit is. In only 19 so I showing my age, I think the 2090 isn't a hitter though it has too much going on"
323,Really cool and interesting video about iconic Nike sneakers! Also loved the cinematography especially the outdoor shots 
324,I Love this vid! I have 70+ AirMax and now I get to watch my children step out in the same sneakers I grew up loving!!The 90s and 95s are my fav!!
325,tn's australia's fave max since the late 90s early 00s till now even nike back in the day where shocked at how well australia embraced them some of the most limited tn's hit footlocker shelves that never made it anywhere else in the world was the ultimate hood sneaker in sydney espically i remember first time i seen the hyper blue tn at the locker was a massive game changer in the air max line long live the tn
326,I love all my air max 90's. Constant compliments and it's a fantastic shoe for my flat feet.
327,I’d love to work for Nike and design sneakers like Air Max with them and just be involved in creating sneakers cause of the story each sneaker tells and the culture around each type of sneaker
328,"I wasn't even alive when the air max 90 dropped, but I just wanted to say that it has rightfully earned it's spot in the hall of Fame."
329,Air max is the first Nike sneaker I bought. It gave me unique steps apart from others.I really enjoy it.
330,Remember first saw red and white air max 1988. Absolutely bkew me away.  Groundbreaking moment in the trainer world /market. Always be legendary shoe.  
331,The Infrared Air Max 90s got me hooked into sneakers around 2006. Still my favorite pair and Air Max model
332,The Air Max 90 Infrared is at the Top-3 of the most beautiful sneakers ever.
333,Yep the original colourway 
334,I remember when i copped my first pair of 90’s.. fell in love instantly.. thank you nike
335,"30 years of Nike Air Max 90, moving production. Brings back good memories."
336,"Great video. Learned a lot, including how much of a staple Air Max were in grime & gabber."
337,I'm gonna go out on a limb and say anyone that both watched and commented is a Air Max sneakerhead and clearly has exquisite tasteTinker is a living breathing Legend
338,The Air Tuned Collection for me is my favorite and easily misunderstood by the many usually people think TN and think hood but it's actually got sick designs
339,My all time Fav pair is the 2007 - Alphabet pack (AM1’s) straight  and great memories from coming to London as a kid and seeing people wearing them.
340,This is a true Love story to Airmax! My favs were 95s since 95 lol. But within the last few years I have changed to 97s. I don't care what colorway.  Airmax will ALWAYS reign supreme.
341,Funny 90’s growing up story My mom once told me that I couldn’t have “Nike air’s” I could only buy “Nike’s” cuz the airs are too much.  Explaining that they are one and the same was mind blowing for her
342,"Merry Air Max Day people  Cool insight into the new silhouette, I'm surprised it didn't drop in a remixed OG Infrared colourway though. I know it's not the activation for the time yet, but I'm intrigued to know what's coming for 95's as well. There's been a lot of sick in-house Air Max colourways designed over the past year, but I'm looking forward to seeing what collabs hold in store this year, the Sk 5 on a Tailwind 5 sounds like certified  I think you should get Kendrick on Air as well, he'll bring some sick concepts to the table."
343,"Crazy how I still choose an Airmax 90 to be on my feet all day over my Reacts, Ultraboosts, ZoomX. Just the right level of comfort and stability that my feet like."
344,"Yea, its crazy how comofortabel they are, although I find my 95s more comfortable."
345,"I ordered my 2090 pair an hour after it went live. Excited to see where they take me.Thanks, Will"
346,I’m probably in the minority!  Favorite is the Air Max 180 Ultramarine!  .  My 2018  of the year was the 180 CDG.  The black/pink color way on the 180 silhouette are   Only wished I bought three more pair!  Loved those!  Classic.
347,Love Documentaries like these
348,My most favorite air max is the BW. My first of these were black with gold. I was a teenager then. I have to admit that I did like it when I was told that it looked cool on me. I was able to buy the Nike air max Classic BW (Marina). I keep them mostly for parties and going out.
349,this has that vibe like something a teacher would make you watch in class
350,https//youtube.com/shorts/pX3aS_lmyuA?feature=share
351,I have to watch this in class rn 
352,HAHAH my teacher just assigned us to watch this for my sports marketing class
353,"Can confirm, I have to watch this video for a stem project."
354,@Brodey wong consoomer
355,@Yellow Jell-O oro
356,How you know that
357,But this is actually cool or interesting
358,If my teachers let me watch this then they would be my favourite teacher ever
359,I wish my teacher made me watch this.
360,My design teacher makes us watch vids like these haha
361,Leave them kids alone...
362,Science Teacher
363,I recall my first time trying them 90s on damn! This is the most comfy shoe I have EVER tried on my foot
364,"Happy Air Max Day!  As having just turned 47, I HAVE HAD THEM ALL!! And have loved every single one of them "
365,"love the styles everyone is rockin here, AM is such a versatile shoe"
366,Just got my Air Max 90 slides today. Something so amusing about the shoe being reborn into a flip flop was just too much for me to pass up. Recently Nikes have been somewhat hit or miss for me. But the AM 90 never misses.
367,I grew up with 95's being called 110's. Feel like that's the UK's stamp on that shoe and Dizzy cemented it in history in this documentary.Edit Not actually sure if 110's started in the UK but growing up I thought it was just in our neighborhood that existed.
368,Was a pleasure to be a part of this movie. Thanks @ Nike!
369,I remember when these came out back when I was in grade 3.  The air bubble was wild back then!
370,Love Air Max. 97 and 90 are my favourite 
371,Air Max have always been my favorite type of sneakers no cap!
372,The air Max bw will always be my favorites because they're the first joints that all the hoods rocked heavy
373,All white leather Air Max 90. The first sneaker I ever bought with my own money and it was what started my passion for both sneakers and fashion.
374,Air Max was the shoe that started my love for shoes
375,As a man who loves shoes I needed this video thank you 
376,"Amazing history, I can't wait to get my first Air Max sneakers "
377,"I was too young to experience this sneaker game. Although I do have stories and connections to the Yeezy 350s that come out, it should be more accessible like the Air Max collection."
378,Others Gives long ass speech about air maxesMe Theyre comfy AF
379,@Mostafayoff - مصطفيوف  I did that but I didn't stop buying them lol
380,Mostafayoff - مصطفايوف  your opinion but it is comfortable
381,Mostafayoff - مصطفايوف  So because instead of walking around it you stepped on it huh... if it popped your bubble that means if you’re wearing other shoes that’s gonna be your foot dude.
382,@Mostafayoff - مصطفيوف  only because you are too stupid to walk straight you blame the shoe...
383,Jamie Whitehouse the air max culture vs the “sneaker” culture are different things. The sneaker culture now is resale. People dont appreciate shoes as people did. Shoes are shoes but now days shoes are a source of income.
384,"It is the worst shoe and the stupidest idea for shoes on the face of the earth .. Because I bought several Air Max shoes a few years ago, and when I went and friends on the way to the cinema, I mistook on a nail that was lying on the floor and suddenly the air was emptied from the inside of the shoe and I became walking, limping, and my shape became embarrassing in the street .. Since that day I have been sharing all of my acquaintances and friends and social media  with this disastrous experience with this stupid shoe so that a small nail in the street makes it useless."
385,Then you aint apart of the culture my brother
386,and they look dope
387,"I love 90s, who doesn't, but the 93 are criminally slept on."
388,Had these back in the day! Maybe I’ll share the picture one day
389,"""We're not growing up in this time."" Made me remember I cannot never judge this generation..."
390,This generation sucks
391,"Thank you for this video gift, it is a gem and I would see it again!  "
392,I hope y'all can put more content out like this
393,First pair I bought myself was a pair of premium air Max 1s which I rocked almost every day for a year. My birthday also lands on air Max day which makes them even more special
394,I got goosebumps when I heard how much they appreciate sneakers as much as I do.
395,It ain’t that deep
396,AirMax is a culture of all people..it wasn't one that made the sneaker more popular or cool to wear..I come from a melted pot of 3 major cities from 3 different states in 1 with population of 100k and music was not influenced by our street wear..it was the style and colors of Air Max...AIR MAX 4EVER
397,Air Max 90's and 97's will always be my favourite
398,I share the same favorites as ya
399,Thank you Nike for including Gabber and finally giving us some recognition!
400,Agreed but Start producing them again please... 3 years of not producing is to long ;(
401,I love air max 720 because they are so unique and comfortable. I dont get why everyone sleeping on them
402,Wow.....Pure Power. Thank You Nike
403,I am truly blessed to have been gifted some 90’s in my childhood. To me it’s a playful shoe that looks best on children.
404,everyone.*
405,"Air Max 90 are definitely my fav's, followed by 97 and 95."
406,i <3 air max 90s I always thought these shoes looked cool
407,"I leave in The Brazil, and man, the brazilians loves nike's air max 90, 95 and 97. But maan, I love so much the model air 90 Light, is incredible shoes!!!"
408,I love my 2090 =) Super confortable and stylish!! Keep it up naikiiiiiiiiii
409,Air max  my first pair are the hyper grape air max 90s. But I plan on getting more 
410,Just copped the air max 2090 andthe comfort is so amazing it’s like a blessing for my feet
411,I just really got into sneakers and the 90s are my go to. Great vid on the background for sure
412,The 97s and the 720s are my favorites Beautiful shoes
413,Happy Airmax day everyone!
414,Wow what’s a great video! I can’t wait until the day I can try on a pair of the 2090’s in store!
415,The bw classic and 90 make my childhood great
416,"Man, big props to that lady nurse who wears air max at workplace. I can relate "
417,I'm a nurse and my airmaxs got me thru my last few months of intern plus being prego .. my feet were killing me lol I would never had made it without my 95s!
418,Air Max 90 Ultra SE - best and favourite shoes I ever owned. I miss them dearly.
419,For me the air max 90 is the best sneaker ever.
420,The greatest shoes Nike Air Max Invigor and all the kind similars of Nike REQUIN/Nike Shark Tn 
421,Seen it on SNKR app! Awesome job! Cop'd the 2090's
422,The Air Max 90's is my fav cause not only the cool kids had em but when they released I was able to finally cop a pair & start my sneaker collection
423,air max 90 forever! just graceful
424,The Air Max 90 and the late 90's Tuned Air series will always be my favs.
