,Index,comments,location,dislikes,likes
219,219,Air Stab's and Wrights,delhi,38,45
220,220,Airmax command leather!!!!,delhi,53,69
221,221,Tbh 97's and 95's,delhi,45,26
222,222,The air max plus and and 1 97 seam whoother spoon,chennai,62,77
223,223,90's HARDCORE NEVER DIE and thats the same for the 90's,chennai,79,16
224,224,"Air Max 90 for me. Used to wear the 1 and 90 when I was a kid, when times are still good.",bangalore,37,6
225,225,BWs then Skylines.,mumbai,15,73
226,226,"Nike the 2090s ain’t it, sorry. They look too regular, like any other shoe. I would love help and give some ideas. I Love Nike.",chennai,98,41
227,227,95 or 97 Hands down,kolkata,72,85
228,228,BW because all start with them !,delhi,77,45
229,229,Bw's and 90,chennai,11,7
230,230,I'v been trying to get 140$ to buy 1 pair of air max for a few months... I'm broke af... feels bad...,bangalore,38,41
231,231,air max 270 and the airmax 90. kinda glad not many like the vapormax lol,mumbai,30,97
232,232,Why don't you make air maxes widely available. This limited shit isn't going to last forever and only pisses long term collectors off. Eat a fat one and stop catering to the hype crowd.,bangalore,69,91
233,233,Nike Air Max Tailwind IV. Thanks for bringing them back out last year ,chennai,25,14
234,234,Air max 1 and Air max 97 (still praying for another 1/97 (like the Wotherspoons)),mumbai,7,99
235,235,"When the Air Max 180 came out it changed my life. This was basically a shoe with a SEE THROUGH LEGO brick. And no way for me to get it, I was way too young for expensive (and white) shoes like that. In 2014 only 23 years later I finally got my pair! Was it worth the wait? Oh yes!",mumbai,7,58
236,236,"In this order 95s,90s,1s,97s",kolkata,0,38
237,237,"The elephants.i want to cop um,but with this carona virus messing the world up,who knows when. Also am90 bacon",kolkata,43,40
238,238,Air max 1’s for sure its the shoe that got me into collecting ,chennai,15,73
239,239,Basically i love all air max hehe,bangalore,27,4
240,240,"I love the 95s, 97s, the air max plus and the air max ltd",bangalore,14,43
241,241,All pig them have been special,bangalore,23,11
242,242,Air max 180 we need better CWs on them!!,chennai,77,3
243,243,Air max bw classic,mumbai,48,24
244,244,97s!!!,kolkata,28,30
245,245,Air Max 270 React,bangalore,48,73
246,246,The squishy  90 corks,bangalore,32,14
247,247,any Command fans?,kolkata,58,80
248,248,Air Max 1’sAtmos elephantPatta CordsBRS Powerball,chennai,32,14
249,249,The classic ones obviously AM 1s and AM 90s.,bangalore,43,4
250,250,the ones with the air bubble,bangalore,24,67
251,251,Barkley 34 wrap over velcrow.,bangalore,0,94
252,252,@Short kid is not air max,mumbai,66,44
253,253,I couldn’t actually decide so i think it’s easier to just say all of them. I’ve  been buying Air Max since a kid and still am buying them all my kicks are Air Max apart from some huaraches ultra,delhi,75,85
254,254,97's and the 90's,kolkata,59,70
255,255,Just children will choose，I like them all,kolkata,54,64
256,256,My first AirmaxAirmax 2015 flynit max. ,delhi,31,92
257,257,"I love my 270s, I just don’t like how my foot slides forward and pinches my toes. Also, the collar area somehow pinches the top of my foot. I like my Nike iD AM1 but I just cant feel the AirMax cushion in those.I ordered the 2090 Duck Camo and I’m still looking forward to my first pair of AM90s.",bangalore,54,47
258,258,90's and 95's,mumbai,41,73
259,259,"1s, 95, 98,",delhi,38,8
260,260,97's ,delhi,90,67
261,261,Hard choice but the greatest Air Max overall is the Plus,kolkata,87,74
262,262,All except Vapormax...ya'll need to kill that line,kolkata,60,49
263,263,90s and 97s,chennai,57,44
264,264,Have too many to pick one fave air max180Infrared 90Silver bullet95 neon Vapormax pure platinum And waiting on 2090 to arrive in the door but the list goes on ,chennai,73,75
265,265,"Air Max Plus (aka Tn).  I’ve had literally 20+ pairs since 1999 and will always have some in the rotation.  Timeless, especially in the OG blue and orange colorways.",kolkata,56,73
266,266,"It’s a toss up between the 90’s, 95’s and the Jordan 3’s/4’s since those are really air max made for Jordan. Lol",delhi,62,27
267,267,AM 90s or AM 2011,mumbai,60,81
268,268,"Atmos Tiger Camo 90's  It's actually the best on all counts. Wearability because of the subdued colourway is  Quality leathers on the guts and overall materials are Sly snakeskin swoosh  Sick tiger camo graphic blocking on the right panels Reflective elements on the tiger camo bursting with flash Glow in the dark speckles on the midsoles gleaming after a day out in the sun Hints of orange for a young alternative colour pop  The best, comprehensively unmatched 90 to date  If crep trump cards existed, it would be one of the strongest for sure.",mumbai,27,47
269,269,Infrared 90,kolkata,22,44
270,270,90’s/720,kolkata,42,30
271,271,Air Max Infuriate II,mumbai,55,89
272,272,"The 90 , 95 , 97",kolkata,65,99
273,273,90s and 1,bangalore,85,84
274,274,90 for sure,bangalore,76,31
275,275,720 it looks the best imo and comfy. not saying it is the best but it is my favorite,chennai,77,13
276,276,"i cannot pick just one! top 5 are 90, BW, 97, 95, and 93",delhi,42,52
277,277,Wow nice  but i don't have money to buy it verry expensive but good quality,bangalore,99,14
278,278,97s 720s,kolkata,82,30
279,279,90’ and 1 ,bangalore,59,86
280,280,Please put correct size air units back in the 180s and also forefoot air back in the AM1 / BW / 90 / 180 as they were back when I first had them,kolkata,26,82
281,281,Air Max 90. I’ll graduate and marry in them.,delhi,69,41
282,282,Air Max 90 and specially the Navigation Pack,delhi,51,66
283,283,Need more air,mumbai,96,8
284,284,AIR MAX ONE !!!!’,delhi,42,70
285,285,Do vapormaxes count? If not then I pick 270’s,delhi,28,48
286,286,Gotta be the AM 1,kolkata,86,37
287,287,Air Classic BW,chennai,94,73
288,288,Air Max 90 infrared!,delhi,8,23
289,289,Tinker sketch to shelf red 1‘s,bangalore,1,60
290,290,air max 1/97 sean wotherspoon,mumbai,61,23
291,291,90s and 1s,kolkata,41,30
292,292,"The Air Max 90 is the first pair of sneakers I bought with money I earned from working. It was my favorite sneakermodel then, it’s my favorite sneaker model now.",delhi,90,2
293,293,@Stephen Lamley 1000% agree man definitely best silhouette,bangalore,59,5
294,294,@Tim smith13 best silhouette imo,delhi,93,66
295,295,@Em Moyong obviously it’s my opinion.,bangalore,34,82
296,296,@Robert Demon thats ur opinion yoFor me I don’t like 97Thats how it goes,kolkata,85,40
297,297,90’s are good 97’s are better and bw’s are the best.,delhi,31,29
298,298,Exactly same as me first air max were 90’s in 1990 and have worn a pair ever since despite having other Max’s the 90’s are always my go to,bangalore,90,87
299,299,literally same. everyone knows that i wear them a lot so they called it  “my thing”,kolkata,17,75
300,300,I'm gay but and me,mumbai,52,67
301,301,@g hunter9 me too lol,bangalore,55,70
302,302,The Nike heart!,chennai,14,86
303,303,Facts whenever you get that first check its straight to buying what you always wanted,mumbai,15,86
304,304,"Yeah, thats an issue. I also invested my first earned money into a sneaker. Jordan 7 Bordeaux back then. The conclusion from this buy was clear By any means, have some fresh kicks.",kolkata,50,38
305,305,"Merry Air Max Day people  Cool insight into the new silhouette, I'm surprised it didn't drop in a remixed OG Infrared colourway though. I know it's not the activation for the time yet, but I'm intrigued to know what's coming for 95's as well. There's been a lot of sick in-house Air Max colourways designed over the past year, but I'm looking forward to seeing what collabs hold in store this year, the Sk 5 on a Tailwind 5 sounds like certified  I think you should get Kendrick on Air as well, he'll bring some sick concepts to the table.",chennai,93,32
306,306,https//youtube.com/shorts/pX3aS_lmyuA?feature=share,bangalore,18,90
307,307,@Nahom Getachew what are u on about the literally he has new crepes every video,delhi,30,99
308,308,U gotta admit tho 90 essentials r better than these recrafts,kolkata,32,44
309,309,The air max 950s are cold,chennai,0,14
310,310,Crep Check,bangalore,72,31
311,311,"Hey chicken babe, how are you? ;)",delhi,73,26
312,312,What I truly LOVE in the Air Max sneakers beyond its incredible design is their durability!  I bought Air Max 90 5 years ago and they are still fine !,bangalore,88,19
313,313,I'm glad Nike makes these kind of videos it will help the next generation hundreds of years later of kids to be inspired good job NIKE!,kolkata,66,3
314,314,"Just bought my first pair of Air Max's today, they were the 90's.. so here I am learning a bit. Just wanted to say that the lady talking about working in mental health & having the designs on her wall brought a tear to my eye. All the respect ",delhi,96,8
315,315,"Nothing in my life resonates with me more than my AirMax 90 when it comes to the material goods I own. There is an engrained cultural and socio-economical heritage that just reminds me of my past, the present and the future. These are more than shoes to me. More than iconic. They are truly historic in all facets of life.",kolkata,85,61
316,316,"So, so much memories with these shoes, from my childhood (kids on the playground bragging and struggling to get a pair). Into my teens, (impressing friends and girls, party's and skateparks). Into my twenties (party's, love, heartache, funerals and weddings). Until my thirties now, passing the love down to my own kids. These shoes have been a huge part of my life, my culture, my generation, our identity. I truly fell in love with these shoes. The love for these shoes will be past down to the next generations, not because we want that to happen but because These shoes are fire!",kolkata,51,16
317,317,"I’m remember getting my first pair of Air Max’s I was 15 years old, now I’m 44 years old, and they are still and Air Max’s will be  4 Ever",kolkata,0,45
318,318,Thats crazy im 15 rn and im about to get my first air max its the recycled ones,mumbai,32,67
319,319,"Thank you for sharing this Nike. For some, these sneakers are an essential part of life. Even if we have wear 'em inside now. The work of your company, from designer to shop employee, make our days brighter. And our feet shinier! Thank you!",kolkata,89,97
320,320,Loved this! Very thorough! I am an AIR MAX nut!!!! It's crazy - I am have been buying and rocking the 90s for 12 months now only because I wanted different colorways than the  Vapor Max I have. Air Max Plus blows my mind! I love those along with the Vapor Maxes! I had been buying Jordans for 7 yrs straight until 2019!,bangalore,96,12
321,321,Still remember my first steps in an Air Max! It felt unreal and perfect. Totally new feeling. ,delhi,33,42
322,322,"I love the air max 90 and the simple appearance of it. Affordable and good looking and its stood through the testament of time, still find it hard to see how amazing a viable air unit is. In only 19 so I showing my age, I think the 2090 isn't a hitter though it has too much going on",delhi,66,11
323,323,Really cool and interesting video about iconic Nike sneakers! Also loved the cinematography especially the outdoor shots ,kolkata,33,89
324,324,I Love this vid! I have 70+ AirMax and now I get to watch my children step out in the same sneakers I grew up loving!!The 90s and 95s are my fav!!,delhi,25,88
325,325,tn's australia's fave max since the late 90s early 00s till now even nike back in the day where shocked at how well australia embraced them some of the most limited tn's hit footlocker shelves that never made it anywhere else in the world was the ultimate hood sneaker in sydney espically i remember first time i seen the hyper blue tn at the locker was a massive game changer in the air max line long live the tn,chennai,36,64
326,326,I love all my air max 90's. Constant compliments and it's a fantastic shoe for my flat feet.,kolkata,45,55
327,327,I’d love to work for Nike and design sneakers like Air Max with them and just be involved in creating sneakers cause of the story each sneaker tells and the culture around each type of sneaker,kolkata,68,2
328,328,"I wasn't even alive when the air max 90 dropped, but I just wanted to say that it has rightfully earned it's spot in the hall of Fame.",chennai,13,31
329,329,Air max is the first Nike sneaker I bought. It gave me unique steps apart from others.I really enjoy it.,kolkata,8,37
330,330,Remember first saw red and white air max 1988. Absolutely bkew me away.  Groundbreaking moment in the trainer world /market. Always be legendary shoe.  ,chennai,70,97
331,331,The Infrared Air Max 90s got me hooked into sneakers around 2006. Still my favorite pair and Air Max model,chennai,79,77
332,332,The Air Max 90 Infrared is at the Top-3 of the most beautiful sneakers ever.,bangalore,69,46
333,333,Yep the original colourway ,mumbai,97,7
334,334,I remember when i copped my first pair of 90’s.. fell in love instantly.. thank you nike,chennai,20,83
335,335,"30 years of Nike Air Max 90, moving production. Brings back good memories.",bangalore,22,90
